SMILES,NR3C1,GRIN1,PDE4D,ADRB2,ADRB1,ADORA2A,MAOA,AR,PTGS1,PTGS2,HRH1,OPRK1,ACHE,HTR1B,CHRM2,OPRD1,CHRM1,SLC6A4,HTR2B,CNR1,KCNH2,DRD2,CNR2,ADRA2A,SCN5A,LCK,GABRA1,HTR3A,CCKAR,PDE3A,DRD1,HTR2A,KCNQ1,ADRA1A,CHRM3,OPRM1,CACNA1C,HTR1A,CHRNA4,SLC6A2,EDNRA,HRH2,SLC6A3,AVPR1A
COc1cc2oc(=O)cc(OC)c2c(C)c1-c1c(O)cc2oc(=O)cc(OC)c2c1C,-5.3,-8.4,-10.0,-10.3,-9.7,-7.3,-0.5,-2.9,-8.4,-6.9,-4.9,-8.3,-8.5,-9.7,0.0,-7.8,-8.2,-9.8,-10.7,-6.9,-6.2,-8.2,-7.3,-9.0,-8.6,-7.7,-9.2,-9.3,-10.2,-9.2,-9.0,-8.8,-7.6,-4.2,0.0,-8.2,-7.8,-8.4,0.0,-10.2,-7.1,-4.4,-7.3,-7.3
O=C1c2ccccc2-n2c(nc3ccccc3c2=O)[C@@H]2C[C@]3(O)c4ccccc4N[C@@H]3N12,-0.9,-11.4,-10.8,-10.7,-11.9,-4.2,0.0,-3.6,-9.8,-9.9,-5.8,-10.7,-12.0,-13.0,0.0,-10.9,-10.5,-13.1,-12.0,-7.8,-8.0,-10.7,-7.9,-9.4,-11.6,-10.4,-8.6,-11.8,-12.1,-11.1,-10.7,-9.3,-10.6,-4.1,-2.0,-11.1,-10.7,-11.6,0.0,-10.6,-9.3,-8.2,-8.3,-9.6
CC1=C[C@H]2O[C@@H]3C[C@@H](OC(=O)/C=C\C=C\[C@H](O)[C@H](C)O)[C@](C)([C@@]2(CO)CC1)[C@]31CO1,-6.9,-7.9,-7.5,-8.4,-8.3,-7.6,-1.4,-4.2,-7.9,-6.1,-5.7,-6.0,-7.9,-7.8,0.0,-7.6,-7.5,-8.8,-8.0,-8.4,-5.0,-6.4,-6.6,-7.6,-7.7,-6.3,-6.4,-7.3,-8.1,-8.4,-7.4,-7.7,-6.1,-7.6,-3.6,-8.6,-7.6,-7.6,-2.3,-8.8,-7.0,-7.5,-7.3,-6.3
CC1=C[C@H]2O[C@@H]3C[C@@H](OC(=O)/C=C\C=C\[C@H](O)[C@@H](C)O)[C@](C)([C@@]2(CO)CC1)[C@]31CO1,-7.4,-8.3,-7.3,-8.5,-8.1,-8.3,-2.6,-4.4,-6.6,-6.0,-5.4,-7.1,-7.9,-8.0,0.0,-7.2,-7.5,-8.7,-8.2,-8.7,-5.0,-7.5,-7.5,-6.2,-7.0,-6.9,-7.3,-7.6,-7.8,-7.1,-7.6,-7.4,-6.4,-8.8,-4.5,-7.4,-7.5,-8.5,-4.6,-10.0,-6.0,-6.7,-9.1,-7.3
O=C(N[C@@H](Cc1ccccc1)C(=O)O)c1cc(Cl)c2c(c1O)C(=O)O[C@H](CO)C2,-9.2,-9.2,-9.1,-9.3,-10.5,-9.3,-8.8,-6.8,-8.6,-8.0,-8.2,-8.6,-10.6,-9.7,0.0,-8.3,-9.0,-9.9,-9.4,-8.8,-5.4,-9.4,-10.5,-8.8,-8.8,-7.5,-9.2,-8.9,-9.1,-10.4,-9.0,-11.0,-7.2,-9.1,-7.7,-8.6,-8.4,-9.7,-4.6,-9.7,-7.5,-7.8,-9.0,-7.7
C[C@H]1OC(=O)c2c(O)c(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)cc(Cl)c2[C@H]1O,-8.2,-9.0,-9.4,-9.6,-10.7,-10.1,-8.4,-6.6,-9.5,-7.4,-7.2,-8.8,-11.1,-9.7,0.0,-9.1,-8.9,-10.3,-9.6,-8.9,-5.5,-8.7,-10.5,-7.9,-8.3,-7.9,-9.0,-9.2,-9.4,-9.5,-9.1,-10.3,-7.5,-7.6,-5.1,-8.4,-7.8,-9.8,-4.7,-9.9,-7.2,-8.0,-9.5,-7.3
C=CC(C)(C)[C@]12C=C(O)C(=O)N3/C(=C/c4c[nH]cn4)C(=O)N[C@@]31N(O)c1ccccc12,-5.7,-8.9,-7.8,-10.3,-9.9,-0.7,0.0,0.0,-8.1,-6.7,-4.9,-8.8,-10.2,-7.9,0.0,-7.7,-8.5,-9.4,-7.3,-8.0,-6.2,-7.5,-2.0,-7.2,-9.1,-6.9,-6.5,-7.6,-8.5,-7.7,-6.6,-6.1,-7.3,-3.5,-0.9,-8.2,-8.3,-7.5,0.0,-8.2,-6.6,-5.1,-7.7,-7.6
COc1cc2c(c(O)c1OCC=C(C)CCC=C(C)CCCC(C)(C)O)COC2=O,-7.7,-7.7,-7.5,-8.5,-8.9,-8.0,-6.6,-5.0,-6.8,-6.5,-8.3,-7.3,-9.0,-9.0,0.0,-6.9,-7.9,-8.5,-7.6,-8.1,-4.6,-8.2,-9.1,-6.6,-7.2,-6.9,-7.9,-7.8,-7.8,-8.2,-7.5,-9.3,-6.6,-8.2,-6.2,-7.0,-6.5,-7.9,-4.8,-8.4,-6.0,-7.2,-7.9,-6.1
CC1=C[C@H]2C=C(C)[C@@H](C)[C@H]3[C@H](CC(C)C)NC(=O)[C@@]23OC(=O)/C=C/[C@@H](O)[C@@H](O)CC1,-8.4,-8.1,-9.4,-8.8,-9.3,-3.9,0.0,0.0,-6.8,-6.6,-5.6,-8.4,-8.2,-9.7,0.0,-9.3,-8.9,-10.9,-7.3,-9.7,-6.4,-8.9,-5.4,-8.6,-9.4,-7.7,-7.7,-7.3,-8.8,-8.7,-7.0,-6.6,-7.8,-2.9,0.0,-9.0,-9.0,-8.8,0.0,-8.8,-7.3,-4.3,-8.4,-7.6
C[C@H]1C(=O)[C@@H](O)[C@@]2(CO)[C@H](O[C@@H]3[C@H](O)C[C@@]2(C)[C@]32CO2)[C@@H]1SC[C@H](N)C(=O)O,-8.3,-7.2,-7.2,-7.5,-7.6,-5.4,0.0,-2.3,-7.9,-6.6,-4.2,-7.1,-7.2,-7.1,0.0,-6.0,-7.5,-8.3,-8.0,-6.2,-4.5,-5.5,-4.5,-5.5,-6.8,-5.6,-5.7,-6.4,-7.9,-7.0,-6.5,-5.9,-5.6,-7.6,-2.4,-6.4,-6.8,-7.1,0.0,-8.1,-6.1,-4.3,-7.6,-6.7
Cc1c(O)c(O)c(Oc2cc(O)c(C)c3c2C(=O)O[C@H](C)[C@H]3C)c2c1[C@H](C)[C@@H](C)O2,-8.1,-9.8,-9.9,-9.5,-10.6,-10.1,-5.1,-3.6,-9.4,-7.4,-7.1,-8.9,-10.7,-10.1,0.0,-8.1,-8.9,-10.9,-10.8,-6.9,-6.1,-9.2,-9.6,-9.0,-9.4,-9.3,-9.4,-10.0,-9.3,-10.0,-8.7,-9.9,-8.9,-7.0,-1.0,-8.5,-9.1,-10.1,0.0,-10.5,-7.9,-6.5,-9.3,-7.9
